S1 S2 S3
943 947 965
954 955 966
953 955 966
961 960 969
947 953 965
381 947 642
361 377 635
367 390 647
384 407 667
419 447 719
428 447 711
469 494 796
465 498 797
462 501 807
464 494 813
469 489 793
467 491 803
378 392 662
379 398 672
371 388 655
371 391 659
372 398 668
373 625 967
381 958 970
411 961 971
955 963 972
960 963 971
960 963 971
396 852 970
435 459 739
429 458 739
367 385 646
366 384 636
359 372 633
359 378 642
402 429 700
369 383 645
480 501 809
470 512 798
472 495 795
406 415 693
474 494 791
434 438 727
401 422 693
408 431 710
417 445 731
431 465 768
457 495 799
435 462 758
418 447 735
420 439 742
430 445 742
446 460 733
437 439 691
941 387 632
954 953 668
968 969 975
964 966 974
960 962 971
940 952 967
884 934 965
859 950 967
365 390 861
387 410 681
457 489 788
452 486 782
450 480 770
457 493 781
455 622 771
444 968 975
453 967 974
959 966 973
964 967 974
960 965 973
955 961 972
953 958 970
958 959 969
967 967 973
968 969 975
968 970 975
968 969 975
966 967 974
401 470 972
370 394 876
370 398 969
366 399 970
371 576 967
393 962 971
417 965 973
436 476 974
442 458 748
463 488 793
445 480 777
457 491 797
445 463 761
956 430 686
966 967 972
956 901 655
968 485 783
465 366 646
968 599 975
959 962 973
900 940 968
967 969 975
967 969 975
966 967 974
968 969 975
958 959 968
955 957 969
954 956 968
955 958 969
961 962 971
961 964 971
953 967 975
435 968 969
418 501 732
457 477 787
445 464 763
447 485 793
455 485 784
457 489 792
356 377 647
446 484 773
361 383 652
378 401 677
367 382 655
358 375 640
459 489 812
367 388 968
433 449 739
377 396 652
389 409 670
383 401 666
364 385 647
374 397 665
370 399 669
367 392 660
364 391 657
362 389 660
359 393 665
362 394 674
381 409 692
385 420 701
443 491 802
441 466 764
385 411 670
421 445 687
462 496 789
447 489 799
441 483 775
392 431 721
436 479 779
960 679 792
966 968 965
967 967 973
965 965 972
963 964 971
962 962 969
959 959 968
954 955 966
853 953 849
364 615 643
372 391 659
358 381 644
353 376 640
352 375 634
351 377 640
455 491 790
447 482 780
421 454 738
451 479 781
368 393 665
384 399 675
381 406 672
461 491 787
425 445 711
366 391 666
371 422 966
967 969 975
959 954 681
968 969 750
967 968 974
967 967 974
957 958 966
967 969 975
968 461 755
398 421 719
453 479 793
453 486 785
427 455 747
363 387 661
386 410 685
404 424 691
365 383 643
370 389 652
364 384 648
357 382 669
